"id","item","code","name","segment","ncms"
"cest_0600606","6.6","06.006.06","Óleo diesel B S10 (misturas autorizativas)","06","2710192"
"cest_0600607","6.7","06.006.07","Óleo diesel B S10 (misturas experimentais)","06","2710192"
"cest_0600608","6.8","06.006.08","Óleo Diesel Marítimo","06","2710192"
"cest_0600609","6.9","06.006.09","Outros óleos combustíveis, exceto os classificados no CEST 06.006.10 e 06.006.11","06","2710192"
"cest_0600610","6.1","06.006.10","Óleo combustível derivado de xisto","06","2710192"
"cest_0600611","6.11","06.006.11","Óleo combustível pesado","06","27101922"
"cest_0600700","7","06.007.00","Óleos lubrificantes","06","2710193"
"cest_0600800","8","06.008.00","Outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, exceto os que contenham biodiesel, exceto os resíduos de óleos e exceto as graxas lubrificantes","06","2710199"
"cest_0600801","8.1","06.008.01","Graxa lubrificante","06","2710199"
"cest_0600900","9","06.009.00","Resíduos de óleos","06","27109"
"cest_0601000","10","06.010.00","Gás de petróleo e outros hidrocarbonetos gasosos, exceto GLP, GLGN, Gás Natural e Gás de xisto.","06","2711"
"cest_0601100","11","06.011.00","Gás liquefeito de petróleo em botijão de 13 Kg (GLP)","06","27111910"
"cest_0601101","11.1","06.011.01","Gás liquefeito de petróleo (GLP), exceto em botijão de 13 Kg","06","27111910"
"cest_0601102","11.2","06.011.02","Gás liquefeito de petróleo em botijão de 13 Kg (GLGNn)","06","27111910"
"cest_0601103","11.3","06.011.03","Gás liquefeito de petróleo (GLGNn), exceto em botijão de 13 Kg","06","27111910"
"cest_0601104","11.4","06.011.04","Gás liquefeito de petróleo em botijão de 13 Kg (GLGNi)","06","27111910"
"cest_0601105","11.5","06.011.05","Gás liquefeito de petróleo (GLGNi), exceto em botijão de 13 Kg","06","27111910"
"cest_0601106","11.6","06.011.06","Gás liquefeito de petróleo em botijão de 13 kg (Misturas)","06","27111910"
"cest_0601107","11.7","06.011.07","Gás liquefeito de petróleo (Misturas), exceto em botijão de 13 Kg","06","27111910"
"cest_0601200","12","06.012.00","Gás Natural Liquefeito","06","27111100"
"cest_0601300","13","06.013.00","Gás Natural Gasoso","06","27112100"
"cest_0601400","14","06.014.00","Gás de xisto","06","27112990"
"cest_0601500","15","06.015.00","Coque de petróleo e outros resíduos de óleo de petróleo ou de minerais betuminosos","06","2713"
"cest_0601600","16","06.016.00","Biodiesel e suas misturas, que não contenham ou que contenham menos de 70%, em peso, de óleos de petróleo ou de óleos minerais betuminosos","06","38260000"
"cest_0601700","17","06.017.00","Preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos","06","3403"
"cest_0601800","18","06.018.00","Óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, que contenham biodiesel, exceto os resíduos de óleos","06","27102000"
"cest_0601900","19","06.019.00","Naftas, exceto a Nafta petroquímica.","06","2710"
"cest_0700100","1","07.001.00","Energia elétrica","07","27160000"
"cest_0800100","1","08.001.00","Ferramentas de borracha vulcanizada não endurecida","08","40169990"
"cest_0800200","2","08.002.00","Ferramentas, armações e cabos de ferramentas, de madeira","08","44170010,44170090"
"cest_0800300","3","08.003.00","Mós e artefatos semelhantes, sem armação, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar; pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cerâmica, mesmo com partes de outras matérias","08","6804"
"cest_0800400","4","08.004.00","Pás, alviões, picaretas, enxadas, sachos, forcados e forquilhas, ancinhos e raspadeiras; machados, podões e ferramentas semelhantes com gume; tesouras de podar de todos os tipos; foices e foicinhas, facas para feno ou para palha, tesouras para sebes, cunhas e outras ferramentas manuais para agricultura, horticultura ou silvicultura","08","8201"
"cest_0800500","5","08.005.00","Folhas de serras de fita","08","82022000"
"cest_0800600","6","08.006.00","Lâminas de serras máquinas","08","82029100"
"cest_0800700","7","08.007.00","Serras manuais e outras folhas de serras (incluídas as fresas-serras e as folhas não dentadas para serrar), exceto as classificadas nos CEST 08.005.00 e 08.006.00","08","8202"
"cest_0800800","8","08.008.00","Limas, grosas, alicates (mesmo cortantes), tenazes, pinças, cisalhas para metais, corta-tubos, corta-pinos, saca-bocados e ferramentas semelhantes, manuais, exceto as pinças para sobrancelhas classificadas na posição 8203.20.90","08","8203"
"cest_0800900","9","08.009.00","Chaves de porcas, manuais (incluídas as chaves dinamométricas); chaves de caixa intercambiáveis, mesmo com cabos","08","8204"
"cest_0801000","10","08.010.00","Ferramentas manuais (incluídos os diamantes de vidraceiro) não especificadas nem compreendidas em outras posições, lamparinas ou lâmpadas de soldar (maçaricos) e semelhantes; tornos de apertar, sargentos e semelhantes, exceto os acessórios ou partes de máquinas-ferramentas; bigornas; forjas-portáteis; mós com armação, manuais ou de pedal","08","8205"
"cest_0801100","11","08.011.00","Ferramentas de pelo menos duas das posições 8202 a 8205, acondicionadas em sortidos para venda a retalho","08","82060000"
"cest_0801200","12","08.012.00","Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar","08","820740,820760,820770"
"cest_0801300","13","08.013.00","Outras ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinas-ferramentas (por exemplo, de embutir, estampar, puncionar, furar, tornear, aparafusar), incluídas as fieiras de estiragem ou de extrusão, para metais, e as ferramentas de perfuração ou de sondagem, exceto forma ou gabarito de produtos em epoxy e as classificadas no CEST 08.012.00","08","8207"
"cest_0801400","14","08.014.00","Facas e lâminas cortantes, para máquinas ou para aparelhos mecânicos","08","8208"
